                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2571,                 2.3973,                 1.6168,                 0.3643,                0.55232,                0.40632,                0.24008,                 1.3737,                 2.5459,                  1.875,               0.000367,               0.000367,               0.000367
                      2,                 1.3295,                 1.8841,                 1.6714,                 0.3418,                  0.349,                0.27441,                0.15818,                 1.5997,                 3.1199,                 2.1146,             0.00073003,             0.00073003,             0.00073003
                      3,                 1.4103,                 1.9042,                 1.7262,                0.32277,                 0.3731,                0.27977,                0.15217,                 1.6225,                 3.3223,                 2.1669,              0.0010857,              0.0010857,              0.0010857
                      4,                 1.4029,                 1.8531,                 1.7181,                0.34702,                0.46834,                0.33492,                 0.1885,                  1.577,                 2.2085,                 2.0662,               0.001078,               0.001078,               0.001078
                      5,                 1.3781,                  1.795,                 1.6998,                0.36974,                0.54242,                0.37334,                0.20895,                 1.5159,                 2.5401,                 2.1102,               0.001067,               0.001067,               0.001067
                      6,                 1.3236,                 1.6766,                 1.6639,                 0.4279,                0.53448,                0.42961,                0.24456,                 1.4945,                 2.0194,                 1.9954,               0.001056,               0.001056,               0.001056
                      7,                 1.3378,                  1.682,                 1.6906,                0.40023,                0.54395,                0.46921,                0.28338,                 1.4068,                 1.7715,                 1.8847,               0.001045,               0.001045,               0.001045
                      8,                  1.284,                 1.6195,                  1.645,                0.51385,                0.54929,                0.49492,                0.29923,                 1.4009,                 1.7062,                 1.8904,               0.001034,               0.001034,               0.001034
                      9,                 1.2953,                 1.6112,                 1.6498,                0.48732,                0.53761,                0.46697,                 0.2774,                 1.4297,                 1.7402,                 1.9172,               0.001023,               0.001023,               0.001023
                     10,                 1.2889,                 1.5893,                 1.6366,                0.47969,                0.60056,                0.54148,                0.33055,                 1.4067,                 1.6863,                 1.8892,               0.001012,               0.001012,               0.001012
                     11,                 1.2302,                 1.4925,                 1.5875,                 0.4366,                0.60111,                0.49611,                0.30359,                 1.3807,                 1.7458,                 1.8934,               0.001001,               0.001001,               0.001001
                     12,                 1.2627,                  1.487,                 1.6124,                0.54538,                0.58553,                  0.561,                0.34502,                 1.3953,                 1.4351,                 1.8731,             0.00099001,             0.00099001,             0.00099001
                     13,                 1.2243,                 1.4364,                 1.5771,                0.41659,                0.63051,                0.50576,                0.30831,                 1.3518,                 1.6181,                 1.8657,             0.00097901,             0.00097901,             0.00097901
                     14,                 1.2217,                 1.4376,                   1.58,                0.51657,                0.56363,                0.53594,                0.34761,                 1.3354,                  1.666,                 1.8282,             0.00096801,             0.00096801,             0.00096801
                     15,                 1.2213,                 1.4167,                  1.605,                0.48373,                0.64347,                0.54587,                0.34866,                 1.3277,                 1.5467,                 1.8321,             0.00095702,             0.00095702,             0.00095702
                     16,                 1.2018,                 1.3665,                 1.5729,                0.49734,                0.60438,                0.56429,                0.35474,                 1.3543,                 1.4428,                 1.8138,             0.00094602,             0.00094602,             0.00094602
                     17,                 1.2233,                 1.3757,                 1.5929,                0.53879,                0.64239,                0.58199,                0.36992,                 1.3345,                 1.3735,                  1.803,             0.00093502,             0.00093502,             0.00093502
                     18,                 1.1866,                  1.353,                 1.5574,                0.52438,                0.58098,                 0.5602,                0.34848,                 1.3526,                 1.4185,                 1.8474,             0.00092402,             0.00092402,             0.00092402
                     19,                 1.1729,                 1.3025,                 1.5527,                0.54392,                 0.6199,                0.60681,                0.38744,                 1.3029,                 1.3037,                 1.8063,             0.00091302,             0.00091302,             0.00091302
                     20,                 1.1695,                 1.3152,                 1.5444,                0.51552,                0.65949,                0.59306,                0.37476,                 1.3171,                 1.3913,                 1.8039,             0.00090202,             0.00090202,             0.00090202
                     21,                 1.1657,                 1.2806,                 1.5459,                0.51374,                0.66164,                0.56624,                0.36288,                  1.323,                 1.3308,                  1.818,             0.00089102,             0.00089102,             0.00089102
                     22,                 1.1557,                 1.2775,                 1.5345,                0.60393,                 0.6288,                0.61581,                0.38902,                 1.3154,                 1.3613,                 1.7805,             0.00088002,             0.00088002,             0.00088002
                     23,                 1.1446,                 1.2572,                 1.5151,                0.58287,                0.63525,                0.61566,                0.40309,                 1.2523,                 1.3984,                 1.7392,             0.00086902,             0.00086902,             0.00086902
                     24,                 1.1548,                 1.3027,                 1.5378,                0.54075,                0.62882,                0.59124,                0.38496,                 1.3177,                 1.4658,                 1.8323,             0.00085803,             0.00085803,             0.00085803
                     25,                 1.1225,                 1.2268,                 1.5018,                0.57323,                0.64551,                0.61237,                0.39627,                 1.2811,                  1.282,                 1.8305,             0.00084703,             0.00084703,             0.00084703
                     26,                 1.1349,                 1.2273,                 1.5435,                0.55879,                0.66554,                0.61189,                 0.3944,                 1.2717,                 1.3109,                 1.7598,             0.00083603,             0.00083603,             0.00083603
                     27,                 1.1087,                 1.2238,                  1.495,                    0.5,                0.70411,                0.63854,                0.40874,                 1.2724,                 1.3849,                 1.7825,             0.00082503,             0.00082503,             0.00082503
