                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4291,                 3.8413,                 1.6563,                0.62188,                0.23312,                0.22884,                0.13943,                 1.3159,                 2.5594,                  1.704,              0.0033296,              0.0033296,              0.0033296
                      2,                 1.3386,                 2.3841,                 1.5362,                0.70035,                 0.2725,                 0.3016,                0.18412,                 1.2972,                 2.2732,                 1.7075,              0.0065969,              0.0065969,              0.0065969
                      3,                 1.3636,                 2.2727,                 1.5677,                0.60018,                0.24982,                0.29168,                0.17493,                   1.42,                  2.424,                 1.7698,              0.0097983,              0.0097983,              0.0097983
                      4,                 1.4042,                 2.2942,                 1.6049,                0.49771,                0.31078,                0.31362,                0.18518,                 1.3845,                 2.2678,                 1.7581,               0.009703,               0.009703,               0.009703
                      5,                 1.3822,                 2.1073,                 1.5846,                0.53524,                0.31969,                0.34101,                0.20929,                 1.3534,                 2.2186,                 1.7515,               0.009604,               0.009604,               0.009604
                      6,                 1.3478,                 1.9809,                  1.569,                0.46483,                0.35555,                0.36857,                0.22855,                 1.3276,                 2.1025,                 1.7288,               0.009505,               0.009505,               0.009505
                      7,                 1.3213,                 1.8786,                 1.5413,                0.53369,                0.37342,                 0.3971,                 0.2468,                  1.314,                 2.0238,                 1.6968,               0.009406,               0.009406,               0.009406
                      8,                 1.3003,                 1.7918,                 1.5325,                0.55877,                0.39023,                0.41657,                 0.2659,                 1.2991,                 1.9124,                 1.6846,               0.009307,               0.009307,               0.009307
                      9,                 1.2868,                 1.7352,                 1.5201,                0.58275,                0.40517,                0.43748,                  0.276,                 1.2842,                 1.8222,                 1.6767,               0.009208,               0.009208,               0.009208
                     10,                 1.2713,                 1.6891,                 1.5064,                0.54899,                0.42891,                0.46181,                0.29515,                 1.2802,                 1.7138,                 1.6796,               0.009109,               0.009109,               0.009109
                     11,                 1.2465,                 1.6022,                 1.4829,                0.58801,                0.44729,                0.48782,                0.31327,                 1.2447,                 1.6795,                 1.6561,                0.00901,                0.00901,                0.00901
                     12,                 1.2395,                  1.564,                 1.4785,                0.58262,                0.46727,                0.48605,                0.31905,                 1.2501,                 1.6509,                 1.6468,               0.008911,               0.008911,               0.008911
                     13,                 1.2302,                 1.5387,                 1.4727,                0.58872,                0.44198,                0.49066,                0.31861,                 1.2442,                 1.6572,                 1.6437,               0.008812,               0.008812,               0.008812
                     14,                 1.2277,                 1.4979,                 1.4703,                0.61411,                0.44875,                0.50816,                  0.336,                 1.2197,                 1.5893,                 1.6157,               0.008713,               0.008713,               0.008713
