                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4376,                 2.4978,                 1.3734,                0.83861,                 0.8341,                0.87944,                0.56239,                 1.2721,                0.87506,                 1.2394,             9.7459e-05,             9.7459e-05,             9.7459e-05
                      2,                 1.1622,                0.94685,                 1.1694,                0.89184,                 0.9134,                0.94609,                 0.6152,                   1.22,                0.63216,                 1.2167,             0.00019352,             0.00019352,             0.00019352
                      3,                 1.0846,                0.75624,                  1.129,                 0.9323,                0.93826,                0.96964,                 0.6394,                 1.1845,                0.58034,                 1.2039,             0.00028765,             0.00028765,             0.00028765
                      4,                 1.0444,                0.67059,                  1.112,                0.92617,                0.94288,                0.96947,                0.64273,                 1.1689,                0.55607,                 1.2196,             0.00028527,             0.00028527,             0.00028527
                      5,                  1.006,                0.61016,                 1.0925,                0.95337,                0.95425,                0.97589,                0.64733,                 1.1764,                0.51865,                 1.2317,             0.00028236,             0.00028236,             0.00028236
                      6,                0.97658,                 0.5783,                 1.0827,                0.91115,                0.95865,                0.96922,                 0.6433,                 1.1665,                0.51298,                 1.2585,             0.00027945,             0.00027945,             0.00027945
                      7,                0.96457,                0.55161,                 1.0784,                0.95511,                0.96806,                0.97466,                0.64869,                 1.1864,                0.48277,                 1.2557,             0.00027654,             0.00027654,             0.00027654
                      8,                0.93212,                0.51807,                 1.0612,                0.95987,                0.97069,                0.97382,                0.65463,                 1.1667,                0.46862,                   1.23,             0.00027363,             0.00027363,             0.00027363
                      9,                0.91574,                0.50624,                 1.0543,                0.94982,                0.96225,                0.96895,                0.64181,                 1.1883,                0.47397,                 1.2601,             0.00027072,             0.00027072,             0.00027072
                     10,                0.90331,                0.49139,                 1.0477,                0.95978,                0.96296,                0.97125,                0.65021,                 1.1801,                0.46313,                 1.2738,              0.0002678,              0.0002678,              0.0002678
                     11,                0.88915,                0.48122,                 1.0463,                0.94658,                0.97078,                0.96684,                0.64717,                 1.2035,                0.46427,                 1.3192,             0.00026489,             0.00026489,             0.00026489
                     12,                0.88309,                0.46891,                 1.0392,                0.94958,                0.97152,                0.96885,                0.65726,                 1.1779,                0.45757,                 1.3139,             0.00026198,             0.00026198,             0.00026198
                     13,                0.86808,                 0.4578,                 1.0343,                0.95831,                0.96295,                0.97271,                0.66488,                 1.1427,                0.44133,                 1.2566,             0.00025907,             0.00025907,             0.00025907
                     14,                0.86023,                0.44958,                 1.0316,                0.95172,                0.96587,                0.96856,                0.66142,                 1.1565,                0.44862,                 1.2944,             0.00025616,             0.00025616,             0.00025616
                     15,                0.84519,                0.44149,                 1.0217,                0.95714,                0.96804,                0.96528,                0.65278,                 1.1821,                0.44539,                 1.2921,             0.00025325,             0.00025325,             0.00025325
                     16,                0.83344,                0.43468,                 1.0177,                0.95912,                0.96487,                0.96999,                0.65267,                 1.1759,                0.44531,                 1.3254,             0.00025034,             0.00025034,             0.00025034
                     17,                0.82704,                0.42937,                 1.0124,                0.94879,                0.96652,                0.96944,                0.65324,                 1.1716,                0.45838,                 1.3285,             0.00024743,             0.00024743,             0.00024743
                     18,                0.81632,                0.42257,                 1.0122,                0.94434,                0.97773,                0.97384,                0.66253,                  1.165,                0.44074,                 1.3206,             0.00024452,             0.00024452,             0.00024452
                     19,                0.80907,                0.41766,                 1.0088,                0.95521,                0.96757,                0.97384,                0.65257,                 1.1797,                 0.4553,                 1.3025,             0.00024161,             0.00024161,             0.00024161
                     20,                0.79705,                0.40739,                 1.0046,                0.96098,                0.96289,                0.96891,                0.65303,                 1.1857,                0.44645,                 1.3527,              0.0002387,              0.0002387,              0.0002387
                     21,                0.79073,                0.40281,                0.99754,                0.95195,                0.97202,                0.97021,                0.66059,                 1.1758,                0.44526,                  1.328,             0.00023579,             0.00023579,             0.00023579
                     22,                0.78621,                0.40107,                0.99667,                0.95717,                0.96497,                0.97178,                 0.6553,                 1.1853,                0.44394,                 1.3228,             0.00023288,             0.00023288,             0.00023288
                     23,                 0.7795,                0.39879,                0.99538,                 0.9506,                0.96973,                0.96662,                 0.6482,                 1.2097,                0.44335,                 1.3757,             0.00022997,             0.00022997,             0.00022997
                     24,                0.76809,                0.38718,                0.99087,                0.95608,                0.96679,                0.96665,                 0.6561,                 1.1813,                0.44565,                 1.3743,             0.00022706,             0.00022706,             0.00022706
                     25,                0.76571,                0.38682,                0.98817,                0.95114,                0.96393,                0.96456,                0.65723,                 1.1828,                0.43907,                 1.3684,             0.00022415,             0.00022415,             0.00022415
                     26,                0.75659,                0.37929,                0.98312,                0.95025,                0.96819,                 0.9628,                0.65771,                  1.185,                0.45115,                 1.3715,             0.00022123,             0.00022123,             0.00022123
                     27,                0.75132,                0.37827,                0.98251,                0.95518,                0.97342,                0.96701,                0.65581,                 1.1812,                0.44272,                 1.3478,             0.00021832,             0.00021832,             0.00021832
                     28,                0.74847,                 0.3731,                0.98357,                0.96338,                0.96876,                0.96827,                0.65265,                 1.1921,                0.42984,                 1.3834,             0.00021541,             0.00021541,             0.00021541
                     29,                0.74039,                0.36929,                0.97696,                0.95449,                0.97315,                0.96974,                0.65797,                 1.1895,                 0.4382,                 1.3789,              0.0002125,              0.0002125,              0.0002125
                     30,                0.73641,                0.36438,                0.97123,                0.95577,                0.96852,                0.96619,                0.65268,                 1.1964,                0.44325,                 1.3664,             0.00020959,             0.00020959,             0.00020959
                     31,                0.73654,                0.36688,                 0.9755,                0.95646,                0.96579,                0.97057,                0.65863,                 1.1893,                0.44157,                 1.3752,             0.00020668,             0.00020668,             0.00020668
                     32,                0.71819,                0.35663,                0.96856,                0.95923,                 0.9579,                0.96349,                0.64768,                 1.1946,                0.43713,                 1.3735,             0.00020377,             0.00020377,             0.00020377
                     33,                0.72356,                0.35847,                0.96991,                0.95202,                0.96668,                0.96565,                0.65048,                 1.1855,                 0.4393,                 1.3616,             0.00020086,             0.00020086,             0.00020086
                     34,                0.72231,                0.35223,                0.96795,                0.95751,                0.96444,                0.96528,                0.65414,                 1.1901,                 0.4362,                 1.3707,             0.00019795,             0.00019795,             0.00019795
                     35,                0.70519,                0.34749,                0.96303,                0.95439,                0.95921,                0.96428,                 0.6503,                 1.2006,                0.44896,                 1.3685,             0.00019504,             0.00019504,             0.00019504
                     36,                0.70794,                0.35151,                0.96141,                0.95847,                0.96197,                0.96533,                0.65304,                 1.1887,                0.44824,                 1.3747,             0.00019213,             0.00019213,             0.00019213
                     37,                0.70301,                0.34603,                0.96559,                0.94979,                0.96125,                 0.9654,                0.65631,                 1.1813,                0.44089,                 1.3479,             0.00018922,             0.00018922,             0.00018922
                     38,                0.70327,                0.34693,                0.96009,                0.95507,                0.96355,                0.96802,                0.65422,                 1.1826,                0.44779,                 1.3821,             0.00018631,             0.00018631,             0.00018631
                     39,                0.69463,                0.34127,                0.95855,                0.95633,                0.96915,                0.97099,                0.66404,                 1.1802,                0.43753,                 1.3922,              0.0001834,              0.0001834,              0.0001834
                     40,                0.68796,                0.33707,                0.95262,                0.94982,                0.96403,                0.96632,                0.65849,                 1.1794,                0.45103,                 1.4034,             0.00018049,             0.00018049,             0.00018049
                     41,                 0.6814,                0.33318,                0.95504,                0.94833,                0.97121,                0.96623,                0.65582,                 1.1945,                0.44178,                 1.4329,             0.00017758,             0.00017758,             0.00017758
                     42,                0.68436,                0.33508,                0.95539,                0.95376,                0.96561,                0.96611,                0.65797,                 1.1761,                0.44081,                 1.3969,             0.00017467,             0.00017467,             0.00017467
                     43,                0.67561,                0.33044,                0.94916,                0.95677,                0.96791,                0.96954,                0.65443,                 1.1893,                0.44059,                 1.3921,             0.00017175,             0.00017175,             0.00017175
