                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4958,                 5.0668,                 1.4254,                0.01951,                0.19671,                0.02065,                0.01292,                 1.3035,                 4.6975,                 1.2862,              1.764e-05,              1.764e-05,              1.764e-05
                      2,                 1.4597,                 4.7994,                 1.3506,                0.02372,                0.18441,                0.02866,                 0.0182,                 1.3048,                 4.4205,                 1.2649,             3.7842e-05,             3.7842e-05,             3.7842e-05
                      3,                 1.3454,                 4.2863,                 1.2829,                0.04462,                0.32098,                0.05852,                0.03515,                 1.3346,                 3.8411,                 1.2632,             5.7636e-05,             5.7636e-05,             5.7636e-05
                      4,                 1.2716,                 3.6582,                 1.2283,                0.19391,                0.34348,                0.15009,                0.09389,                 1.3594,                 3.0646,                 1.2968,             7.7022e-05,             7.7022e-05,             7.7022e-05
                      5,                 1.3018,                 3.0826,                 1.2496,                0.35245,                0.34919,                0.24094,                 0.1562,                 1.2622,                 3.1789,                  1.252,             9.6002e-05,             9.6002e-05,             9.6002e-05
                      6,                 1.2559,                 2.5761,                 1.2183,                0.38081,                0.45389,                0.40092,                 0.2787,                 1.1229,                 3.3209,                 1.1984,             0.00011457,             0.00011457,             0.00011457
                      7,                 1.1894,                 2.1545,                  1.192,                0.36554,                0.54108,                0.47542,                0.33717,                 1.1003,                 2.8732,                 1.1952,             0.00013274,             0.00013274,             0.00013274
                      8,                  1.192,                 1.9941,                  1.209,                0.62501,                 0.5689,                0.60368,                0.43857,                  1.071,                 1.9243,                  1.201,             0.00015049,             0.00015049,             0.00015049
                      9,                  1.122,                 1.7797,                 1.1858,                0.65382,                0.62332,                0.65649,                   0.48,                 1.0254,                 1.6911,                 1.1917,             0.00016784,             0.00016784,             0.00016784
                     10,                 1.1234,                 1.5701,                 1.1885,                0.73773,                0.62101,                0.73181,                0.54084,                0.98971,                 1.4151,                 1.1868,             0.00018479,             0.00018479,             0.00018479
                     11,                 1.0731,                 1.4479,                 1.1547,                0.76815,                0.73635,                0.84845,                0.63131,                0.96335,                 1.3259,                 1.1715,             0.00020132,             0.00020132,             0.00020132
                     12,                 1.0601,                 1.4188,                 1.2285,                 0.7708,                0.82365,                0.88123,                0.66263,                0.94824,                 1.1448,                 1.1588,             0.00021745,             0.00021745,             0.00021745
                     13,                 1.0148,                 1.2789,                 1.1379,                0.84034,                0.80558,                0.90643,                0.68443,                0.93876,                0.99316,                 1.1547,             0.00023317,             0.00023317,             0.00023317
                     14,                  1.024,                 1.2508,                  1.145,                0.84034,                0.80558,                0.90643,                0.68443,                0.93876,                0.99316,                 1.1547,             0.00024848,             0.00024848,             0.00024848
                     15,                 1.0284,                  1.176,                 1.0997,                0.81451,                0.89597,                0.93198,                0.70883,                0.90672,                0.90826,                 1.1466,             0.00025325,             0.00025325,             0.00025325
