                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3803,                 3.8264,                 1.5146,                 0.5087,                 0.2502,                0.21267,                0.13426,                 1.2811,                 2.4803,                 1.4845,              0.0033202,              0.0033202,              0.0033202
                      2,                 1.2555,                 2.1249,                  1.384,                0.60449,                 0.3485,                0.33741,                0.21902,                 1.1765,                 2.0001,                 1.3682,              0.0065876,              0.0065876,              0.0065876
                      3,                 1.2766,                 1.9839,                 1.3998,                0.50036,                0.23002,                0.21028,                0.12834,                 1.3497,                 2.8782,                 1.5236,              0.0097891,              0.0097891,              0.0097891
                      4,                 1.3442,                 2.0598,                 1.4391,                 0.4326,                 0.3172,                0.30374,                0.18967,                  1.345,                 2.1983,                 1.5301,               0.009703,               0.009703,               0.009703
                      5,                 1.3039,                 1.8731,                 1.4147,                0.54376,                0.36683,                0.37607,                0.24835,                 1.2823,                 2.0124,                 1.4863,               0.009604,               0.009604,               0.009604
                      6,                  1.274,                 1.7352,                 1.3976,                0.49777,                0.41092,                0.39639,                0.26259,                  1.232,                 1.8697,                 1.4075,               0.009505,               0.009505,               0.009505
                      7,                 1.2495,                 1.6318,                 1.3735,                0.54941,                0.44356,                 0.4685,                0.31104,                 1.1754,                 1.6225,                 1.3713,               0.009406,               0.009406,               0.009406
                      8,                 1.2218,                 1.5818,                 1.3587,                0.54952,                0.44554,                0.48154,                0.32105,                 1.1899,                 1.5352,                   1.38,               0.009307,               0.009307,               0.009307
                      9,                 1.2095,                 1.5027,                 1.3528,                0.61103,                0.45119,                0.52776,                0.36023,                 1.1586,                 1.4794,                 1.3737,               0.009208,               0.009208,               0.009208
                     10,                 1.1929,                 1.4456,                 1.3359,                0.59932,                 0.4434,                0.51848,                0.35269,                 1.1837,                 1.4892,                 1.3696,               0.009109,               0.009109,               0.009109
                     11,                 1.1646,                 1.3838,                 1.3229,                0.59717,                0.49331,                0.53241,                0.36095,                 1.2072,                  1.483,                 1.4111,                0.00901,                0.00901,                0.00901
                     12,                 1.1565,                 1.3526,                 1.3188,                0.61749,                0.44853,                0.53323,                0.36277,                 1.1576,                 1.4446,                 1.3538,               0.008911,               0.008911,               0.008911
                     13,                 1.1509,                 1.3307,                 1.3195,                0.62589,                0.50887,                0.58027,                0.40403,                 1.1403,                  1.337,                 1.3466,               0.008812,               0.008812,               0.008812
                     14,                 1.1416,                 1.2859,                 1.3097,                0.63252,                0.54524,                0.60583,                 0.4224,                 1.1285,                 1.2708,                 1.3412,               0.008713,               0.008713,               0.008713
                     15,                  1.128,                  1.256,                 1.3001,                0.64173,                0.53902,                0.62136,                0.43644,                 1.1034,                 1.2289,                  1.324,               0.008614,               0.008614,               0.008614
                     16,                 1.1195,                 1.2365,                 1.2952,                0.65933,                0.52519,                0.61213,                0.41471,                 1.1185,                 1.2274,                 1.3309,               0.008515,               0.008515,               0.008515
